XIP1564,Xuc xich Ponnie,500,5000,19/02/2021,lualua71@gmail.com,340-Le Thanh Ton-Ho Chi Minh City,0987654321
BAN2345,Banh mi sandwich,200,15000,13/11/2021,rangp/s65@gmail.com,758-Tran Hung Dao-Vung Tau,0987654322
SUA7890,Sua tuoi Vinamilk,300,12000,29/04/2023,gaumi69@gmail.com,306-Tran Hung Dao-Bien Hoa,0987654323
TRA4561,Tra xanh C2,150,8000,13/01/2024,ngotmiwon35@gmail.com,914-Nguyen Trai-Vung Tau,0987654324
CAK8472,Ca phe G7,250,7000,21/02/2023,vinamilkvinamilk89@gmail.com,617-Hai Ba Trung-Can Tho,0987654325
KEM6321,Kem danh rang P/S,180,25000,15/10/2023,biabia77@gmail.com,247-Pham Ngu Lao-Hue,0987654326
DAU4536,Dau goi Clear,100,90000,23/10/2020,keokeo66@gmail.com,953-Ly Thuong Kiet-Hanoi,0987654327
BOT9821,Bot giat OMO,220,55000,21/08/2020,bimpoca37@gmail.com,188-Vo Van Tan-Nha Trang,0987654328
NUOC5647,Nuoc mam Nam Ngu,150,45000,31/03/2023,gaogao60@gmail.com,235-Pham Ngu Lao-Nha Trang,0987654329
MI1928,Mi tom Hao Hao,500,3000,13/03/2021,namngu13@gmail.com,989-Ly Thuong Kiet-Ho Chi Minh City,0987654330
GAO5673,Gao tam thom,100,18000,15/08/2022,aji-ngongia98@gmail.com,363-Vo Van Tan-Vung Tau,0987654331
TRU4552,Trung ga,300,4000,26/07/2022,mamnam55@gmail.com,625-Pham Ngu Lao-Hai Phong,0987654332
SUA9087,Sua dac Ong Tho,250,20000,24/02/2023,thanhtra83@gmail.com,290-Ly Thuong Kiet-Hue,0987654333
BIA6724,Bia Heineken,100,20000,04/03/2024,gumgum11@gmail.com,918-Nguyen Trai-Ho Chi Minh City,0987654334
NEN4739,Nen thom,50,25000,30/05/2021,misamyang14@gmail.com,112-Tran Hung Dao-Bien Hoa,0987654335
XIT3472,Xit khoang Evoluder,120,150000,17/05/2021,axexit19@gmail.com,26-Pham Ngu Lao-Can Tho,0987654336
GIAY1235,Giay ve sinh An An,300,12000,07/03/2023,xittam52@gmail.com,351-Hai Ba Trung-Hai Phong,0987654337
BAN7884,Banh quy Oreo,180,20000,15/01/2022,trungtrung13@gmail.com,445-Le Loi-Bien Hoa,0987654338
KEO3456,Keo Alpenliebe,400,10000,18/01/2022,heinekenheineken14@gmail.com,68-Ly Thuong Kiet-Nha Trang,0987654339
MI2031,Mi Cay Samyang,250,15000,03/04/2022,nguyencafe20@gmail.com,26-Hai Ba Trung-Da Lat,0987654340
CHA9021,Cha lua,200,70000,25/01/2022,thomthom20@gmail.com,21-Nguyen Thi Minh Khai-Da Nang,0987654341
